naturalis_id,species_id
RMNH.5070450.b,7023
RMNH.AVES.167985,7023
RMNH.AVES.168046,7023
RMNH.AVES.256540,7023
RMNH.AVES.53138,7023
RMNH.AVES.53680,7023
RMNH.AVES.79298.a,7023
ZMA.AVES.20500,7023
ZMA.AVES.32217,7023
ZMA.AVES.44912,7023
ZMA.AVES.44914,7023
ZMA.AVES.46564,7023
RMNH.5002219,10870
RMNH.5002250,25937
RMNH.INS.843659,25937
RMNH.INS.844676,25937
RMNH.INS.844828,25937
ZMA.INS.909590,25937
RMNH.5002256,30198
RMNH.INS.844493,30198
RMNH.INS.844499,30198
RMNH.INS.844503,30198
RMNH.INS.844912,30198
RMNH.INS.844913,30198
RMNH.INS.850506,30198
RMNH.INS.850622,30198
ZMA.INS.900736,30198
RMNH.5002257,7007
RMNH.INS.845554,7007
ZMA.INS.905105,7007
RMNH.5002271,28381
ZMA.INS.901399,28381
ZMA.INS.904026,28381
RMNH.5002272,28384
RMNH.5002409,28384
ZMA.INS.903412,28384
RMNH.5002317,27427
RMNH.5002321,20541
RMNH.5002590,20541
RMNH.5002660,20541
RMNH.5002697,20541
RMNH.INS.846084,20541
RMNH.INS.848098,20541
RMNH.INS.848099,20541
RMNH.INS.850858,20541
RMNH.INS.851315,20541
RMNH.INS.851397,20541
RMNH.5002345,26053
RMNH.5002813,26053
RMNH.5003239,26053
RMNH.5003490,26053
RMNH.INS.967859,26053
RMNH.5002354,12859
RMNH.5002355,12859
RMNH.5002360,14949
RMNH.5002361,14949
RMNH.5002362,14949
RMNH.5002364,10901
RMNH.5002365,10901
ZMA.INS.903080,10901
ZMA.INS.903302,10901
ZMA.INS.903818,10901
ZMA.INS.903819,10901
RMNH.5002370,23324
RMNH.5002371,23324
RMNH.INS.967775,23324
ZMA.INS.905033,23324
RMNH.5002375,2925
RMNH.5002376,23335
RMNH.5002511,23335
RMNH.5002512,23335
RMNH.INS.850947,23335
RMNH.INS.850958,23335
RMNH.5002379,28600
